"no","issn","issn2","title","title_main","comments","database","Scopus","WoS","CA","PubMed","Springer","GeoRef","MathSciNet","zbMATH"
656,"0205-9614","","Исследование Земли из космоса / Issledovanie Zemli iz Kosmosa (***англ. присоед. к Izvestiya, Atmospheric and Oceanic Physics)","Исследование Земли из космоса / Issledovanie Zemli iz Kosmosa","(***англ. присоед. к Izvestiya, Atmospheric and Oceanic Physics)","Scopus (р, а)","да","","","","","","",""
657,"2618-6772","2618-849X","История, археология и этнография Кавказа / History, Archeology and Ethnography of the Caucasus","История, археология и этнография Кавказа / History, Archeology and Ethnography of the Caucasus",NA,"Scopus","да","","","","","","",""
658,"2500-2910","2409-5834","История медицины / History of Medicine","История медицины / History of Medicine",NA,"Scopus","да","","","","","","",""
659,NA,"2079-8784","История. Электронный научно-образовательный журнал / Istoriya / ISTORIYA-ELEKTRONNYI NAUCHNO-OBRAZOVATELNYI ZHURNAL","История. Электронный научно-образовательный журнал / Istoriya / ISTORIYA-ELEKTRONNYI NAUCHNO-OBRAZOVATELNYI ZHURNAL",NA,"Scopus, WoS(ESCI)","да","да","","","","","",""
660,"1814-3326","","Кавказский энтомологический бюллетень / Caucasian Entomological Bulletin","Кавказский энтомологический бюллетень / Caucasian Entomological Bulletin",NA,"Scopus","да","","","","","","",""
661,"0368-4814","2587-9359","Казанский медицинский журнал / Kazan Medical Journal","Казанский медицинский журнал / Kazan Medical Journal",NA,"Scopus","да","","","","","","",""
662,"0207-6918","2310-3701","Кантовский сборник / Kantian Journal","Кантовский сборник / Kantian Journal",NA,"Scopus","да","","","","","","",""
663,"1728-8800","2619-0125","Кардиоваскулярная терапия и профилактика / Cardiovascular Therapy and Prevention (Russian Federation)","Кардиоваскулярная терапия и профилактика / Cardiovascular Therapy and Prevention","(Russian Federation)","PubMed, Scopus","да","","","да","","","",""
664,"0022-9040","2412-5660","Кардиология / Kardiologiya","Кардиология / Kardiologiya",NA,"PubMed, Scopus, WoS(SCIE)","да","да","","да","","","",""
665,"1996-6385","2309-4737","Кардиология и сердесно-сосудистая хирургия /  Kardiologiya i Serdechno-Sosudistaya Khirurgiya","Кардиология и сердесно-сосудистая хирургия / Kardiologiya i Serdechno-Sosudistaya Khirurgiya",NA,"Scopus","да","","","","","","",""
666,"1816-0387","","Катализ в промышленности (*англ. Catalysis in Industry)","Катализ в промышленности","(*англ. Catalysis in Industry)","Scopus (a), Springer (а), WoS(ESCI) (а)","да","да","","","да","","",""
667,"0022-9466","","Каучук и резина (*англ. част. пер. в International Polymer Science and Technology)","Каучук и резина","(*англ. част. пер. в International Polymer Science and Technology)","Scopus (a)","да","","","","","","",""
668,"0368-7147","","Квантовая электроника (*англ. Quantum Electronics)","Квантовая электроника","(*англ. Quantum Electronics)","CA(core - англ), Scopus (a), Springer (а), WoS (а)","да","да","да","","да","","",""
669,"0453-8811","","Кинетика и катализ (*англ. Kinetics and Catalysis)","Кинетика и катализ","(*англ. Kinetics and Catalysis)","CA(core) (р), Scopus (a), Springer (a), WoS (a)","да","да","да","","да","","",""
670,"1813-7008","","Клеи. Герметики. Технологии (*англ. Polymer Science, Series D. Glues and Sealing Materials)","Клеи. Герметики. Технологии","(*англ. Polymer Science, Series D. Glues and Sealing Materials)","CA(core - а., pt - рус), Scopus (a), Springer (а)","да","","да","","да","","",""
671,"1814-3490","","Клеточные технологии в биологии и медицине (***англ.  сост. Bulletin of Experimental Biology and Medicine)","Клеточные технологии в биологии и медицине","(***англ. сост. Bulletin of Experimental Biology and Medicine)","Scopus (а), Springer (а), WoS (а)","да","да","","","да","","",""
672,"1997-2849","","Клиническая дерматология и венерология / Klinicheskaya Dermatologiya i Venerologiya","Клиническая дерматология и венерология / Klinicheskaya Dermatologiya i Venerologiya",NA,"Scopus","да","","","","","","",""
673,NA,"2304-0394","Клиническая и специальная психология / Clinical Psychology and Special Education","Клиническая и специальная психология / Clinical Psychology and Special Education",NA,"WoS(ESCI)","","да","","","","","",""
674,"2226-5988","2686-6749","Клиническая и экспериментальная морфология / Clinical and Experimental Morphology","Клиническая и экспериментальная морфология / Clinical and Experimental Morphology",NA,"Scopus","да","","","","","","",""
675,"2308-1198","","Клиническая и экспериментальная хирургия / Clinical and Experimental Surgery","Клиническая и экспериментальная хирургия / Clinical and Experimental Surgery",NA,"Scopus","да","","","","","","",""
676,"0869-2084","","Клиническая лабораторная диагностика / Klinicheskaia laboratornaia diagnostika","Клиническая лабораторная диагностика / Klinicheskaia laboratornaia diagnostika",NA,"CA(pt), PubMed, Scopus","да","","да","да","","","",""
677,"1684-4386","2686-9586","Клиническая микробиология и антимикробная химиотерапия / Kliniceskaa Mikrobiologia i Antimikrobnaa Himioterapia","Клиническая микробиология и антимикробная химиотерапия / Kliniceskaa Mikrobiologia i Antimikrobnaa Himioterapia",NA,"Scopus","да","","","","","","",""
678,"1997-6933","2500-2139","Клиническая онкогематология / Klinicheskaya Onkogematologiya","Клиническая онкогематология / Klinicheskaya Onkogematologiya",NA,"Scopus","да","","","","","","",""
679,"2311-7729","2619-1571","Клиническая офтальмология / Russian Journal of Clinical Ophthalmology","Клиническая офтальмология / Russian Journal of Clinical Ophthalmology",NA,"Scopus","да","","","","","","",""
680,"0023-2815","","Кокс и химия (*англ. Coke and Chemistry)","Кокс и химия","(*англ. Coke and Chemistry)","Scopus (a), Springer (а), WoS(ESCI)  (а)","да","да","","","да","","",""
681,"0023-2912","","Коллоидный журнал (*англ. Colloid Journal)","Коллоидный журнал","(*англ. Colloid Journal)","CA(core - а), GeoRef, Scopus (a), Springer (а), WoS (а)","да","да","да","","да","да","",""
682,"2306-1278","2587-9537","Комплексные проблемы сердечно-сосудистых заболеваний / Complex Issues of Cardiovascular Diseases","Комплексные проблемы сердечно-сосудистых заболеваний / Complex Issues of Cardiovascular Diseases",NA,"Scopus","да","","","","","","",""
683,"1999-7590","","Композиты и наноструктуры / Kompozity i Nanostruktury","Композиты и наноструктуры / Kompozity i Nanostruktury",NA,"CA(pt)","","","да","","","","",""
684,"2221-7932","2075-7182","Компьютерная лингвистика и интеллектульные технологии / Komp'juternaja Lingvistika i Intellektual'nye Tehnologii","Компьютерная лингвистика и интеллектульные технологии / Komp'juternaja Lingvistika i Intellektual'nye Tehnologii",NA,"Scopus","да","","","","","","",""
685,"0134-2452","2412-6179","Компьютерная оптика / Computer Optics","Компьютерная оптика / Computer Optics",NA,"Scopus, WoS(ESCI)","да","да","","","","","",""
686,"2076-7633","2077-6853","Компьютерные исследования и моделирование / Computer Research and Modeling","Компьютерные исследования и моделирование / Computer Research and Modeling",NA,"Scopus","да","","","","","","",""
687,"1606-867X","","Конденсированные среды и межфазные границы / Kondensirovannye sredy i mezhfaznye granitsy","Конденсированные среды и межфазные границы / Kondensirovannye sredy i mezhfaznye granitsy",NA,"CA(pt), Scopus","да","","да","","","","",""
688,"2075-3470","2311-9446","Консультативная психология и психотерапия / Counseling Psychology and Psychotherapy/ KONSULTATIVNAYA PSIKHOLOGIYA I PSIKHOTERAPIYA-COUNSELING PSYCHOLOGY AND PSYCHOTHERAPY","Консультативная психология и психотерапия / Counseling Psychology and Psychotherapy/ KONSULTATIVNAYA PSIKHOLOGIYA I PSIKHOTERAPIYA-COUNSELING PSYCHOLOGY AND PSYCHOTHERAPY",NA,"Scopus, WoS(ESCI)","да","да","","","","","",""
689,"0132-344X","","Координационная химия (*англ. Russian Journal of Coordination Chemistry )","Координационная химия","(*англ. Russian Journal of Coordination Chemistry )","CA(core - а), Scopus (a), Springer (а), WoS (а)","да","да","да","","да","","",""
690,"1813-7016","","Коррозия: материалы, защита (***англ. присоед. Protection of Metals and Physical Chemistry of Surfaces)","Коррозия: материалы, защита","(***англ. присоед. Protection of Metals and Physical Chemistry of Surfaces)","CA(pt) (а). Scopus (а), Springer (а), WoS (а)","да","да","да","","да","","",""
691,"0023-4206","","Космические исследования (*англ. Cosmic Research)","Космические исследования","(*англ. Cosmic Research)","Scopus (а), Springer (а), WoS (а)","да","да","","","да","","",""
692,"0130-2620","","Краткие сообщения Института археологии / Kratkiye Soobshcheniya Instituta Arkheologii","Краткие сообщения Института археологии / Kratkiye Soobshcheniya Instituta Arkheologii",NA,"Scopus, WoS(ESCI)","да","да","","","","","",""
