"no","issn","issn2","title","title_main","comments","database","Scopus","WoS","CA","PubMed","Springer","GeoRef","MathSciNet","zbMATH"
1,"2166-4072","2164-9731","Ab Imperio /AB IMPERIO-STUDIES OF NEW IMPERIAL HISTORY AND NATIONALISM IN THE POST-SOVIET SPACE","Ab Imperio /AB IMPERIO-STUDIES OF NEW IMPERIAL HISTORY AND NATIONALISM IN THE POST-SOVIET SPACE",NA,"Scopus  , WoS(AHCI)","да","да","","","","","",""
2,"0132-8077","2221-5115","Acarina","Acarina",NA,"Scopus","да","","","","","","",""
3,"1063-7710","1562-6865","Acoustical Physics (рус. Акустический журнал)","Acoustical Physics","(рус. Акустический журнал)","CA(pt), Scopus, Springer, PubMed, WoS(SCIE)","да","да","да","да","да","","",""
4,NA,"2412-1908","Acta Biologica Sibirica","Acta Biologica Sibirica",NA,"Scopus","да","","","","","","",""
5,"2541-9420","2587-9596","Acta Biomedica Scientifica","Acta Biomedica Scientifica",NA,"Scopus","да","","","","","","",""
6,"2075-8251","","Acta Naturae","Acta Naturae",NA,"Scopus, WoS(SCIE)","да","да","","","","","",""
7,"2541-8513","","Advanced Materials & Technologies","Advanced Materials & Technologies",NA,"CA(pt)","","","да","","","","",""
8,"2079-0570","2079-0589","Advances in Gerontology (рус. Успехи геронтологии)","Advances in Gerontology","(рус. Успехи геронтологии)","Scopus, Springer, WoS(ESCI)","да","да","","","да","","",""
9,"0002-5232","1573-8302","Algebra and Logic (USA, рус. Алгебра и логика)","Algebra and Logic","(USA, рус. Алгебра и логика)","MathSciNet, Scopus, Springer, WoS(SCIE), zbMATH","да","да","","","да","","да","да"
10,"1061-1959","1558-092X","Anthropology and Archeology of Eurasia","Anthropology and Archeology of Eurasia",NA,"Scopus","да","","","","","","",""
11,"0003-6838","1608-3024","Applied Biochemistry and Microbiology (рус. осн. Прикладная биохимия и микробиология + присоед. Биотехнология)","Applied Biochemistry and Microbiology","(рус. осн. Прикладная биохимия и микробиология + присоед. Биотехнология)","CA(core), Scopus, Springer, WoS(SCIE)","да","да","да","","да","","",""
12,"0937-9347","1613-7507","Applied Magnetic Resonance","Applied Magnetic Resonance",NA,"CA(pt), Scopus","да","","да","","","","",""
13,"2313-870X","","Applied Methods of Statistical Analysis (Conference Proceedings)","Applied Methods of Statistical Analysis","(Conference Proceedings)","Scopus","да","","","","","","",""
14,"1563-0110","1531-832X","Archaeology, Ethnology and Anthropology of Eurasia (рус. Археология, этнография и антропология Евразии)","Archaeology, Ethnology and Anthropology of Eurasia","(рус. Археология, этнография и антропология Евразии)","GeoRef, Scopus, Springer, WoS(ESCI)","да","да","","","да","да","",""
15,NA,"2500-0055","Architecture and Engineering","Architecture and Engineering",NA,"Scopus","да","","","","","","",""
16,"0131-1379","","Arctoa","Arctoa",NA,"Scopus","да","","","","","","",""
17,"2079-0961","2079-0988","Arid Ecosystems (рус. Аридные экосистемы)","Arid Ecosystems","(рус. Аридные экосистемы)","Scopus, Springer, WoS(ESCI)","да","да","","","да","","",""
18,"0136-006X","","Arthropoda Selecta","Arthropoda Selecta",NA,"Scopus, WoS(SCIE)","да","да","","","","","",""
19,"1063-7737","1562-6873","Astronomy Letters (рус. Письма в Астрономический журнал)","Astronomy Letters","(рус. Письма в Астрономический журнал)","CA(pt), Scopus, Springer, WoS(SCIE)","да","да","да","","да","","",""
20,"1063-7729","1562-6881","Astronomy Reports (рус. Астрономический журнал)","Astronomy Reports","(рус. Астрономический журнал)","CA(pt), Scopus, Springer, WoS(SCIE)","да","да","да","","да","","",""
21,"1990-3413","1990-3421","Astrophysical Bulletin (USA, рус. Астрофизический бюллетень)","Astrophysical Bulletin","(USA, рус. Астрофизический бюллетень)","Scopus, Springer, WoS(SCIE)","да","да","","","да","","",""
22,"1024-8560","2070-0393","Atmospheric and Oceanic Optics (рус. Оптика атмосферы и океана)","Atmospheric and Oceanic Optics","(рус. Оптика атмосферы и океана)","CA(pt), Scopus, Springer, WoS(ESCI)","да","да","да","","да","","",""
23,"1063-4258","1573-8205","Atomic Energy (USA, рус. Атомная энергия)","Atomic Energy","(USA, рус. Атомная энергия)","CA(pt), Scopus, Springer, WoS(SCIE)","да","да","да","","да","","",""
24,"0146-4116","1558-108X","Automatic Control and Computer Sciences (**рус. осн. Автоматика и вычислительная техника (Латвия) + присоед. Моделирование и анализ информационных систем; Проблемы информационной безопасности. Компьютерные системы)","Automatic Control and Computer Sciences","(**рус. осн. Автоматика и вычислительная техника (Латвия)","Scopus, Springer, WoS(ESCI)","да","да","","","да","","",""
25,"0005-1055","1934-8371","Automatic Documentation and Mathematical Linguistics (USA, рус. Научно-техническая информация. Серия 2. Информационные процессы и системы)","Automatic Documentation and Mathematical Linguistics","(USA, рус. Научно-техническая информация. Серия 2. Информационные процессы и системы)","Springer, WoS(ESCI)","","да","","","да","","",""
26,"0005-1179","1608-3032","Automation and Remote Control (USA, рус. Автоматика и телемеханика)","Automation and Remote Control","(USA, рус. Автоматика и телемеханика)","MathSciNet, Scopus, Springer, WoS,  zbMATH","да","да","","","да","","да","да"
27,"2079-8555","2310-0524","Baltic Region (рус. Балтийский регион)","Baltic Region","(рус. Балтийский регион)","Scopus, WoS(ESCI)","да","да","","","","","",""
28,"0006-2979","1608-3040","Biochemistry (Moscow) (USA, рус. Биохимия)","Biochemistry","(Moscow)","CA(core), PubMed, Scopus, Springer, WoS(SCIE)","да","да","да","да","да","","",""
29,"1990-7478","1990-7494","Biochemistry (Moscow) Supplement Series A. Membrane and Cell Biology (рус. Биологические мембраны: Журнал мембранной и клеточной биологии)","Biochemistry","(Moscow)","Scopus, Springer, WoS(ESCI)","да","да","","","да","","",""
30,"1990-7508","1990-7516","Biochemistry (Moscow) Supplement Series B. Biomedical Chemistry (рус. Биомедицинская химия)","Biochemistry","(Moscow)","Scopus, Springer, WoS(ESCI)","да","да","","","да","","",""
31,"2542-2154","2587- 5779","Biological Communications  (пред. назв. Вестник Санкт-Петербургского университета. Серия 3. Биология)","Biological Communications","(пред. назв. Вестник Санкт-Петербургского университета. Серия 3. Биология)","Scopus","да","","","","","","",""
32,"1062-3590","1608-3059","Biology Bulletin (рус. осн. Известия Российской академии наук. Серия биологическая + присоед. Зоологический журнал; Поволжский экологический журнал)","Biology Bulletin","(рус. осн. Известия Российской академии наук. Серия биологическая + присоед. Зоологический журнал; Поволжский экологический журнал)","CA(pt), Scopus, Springer, WoS(SCIE)","да","да","да","","да","","",""
33,"2079-0864","2079-0872","Biology Bulletin Reviews (**рус. сост. Журнал общей биологии + Успехи современной биологии)","Biology Bulletin Reviews","(**рус. сост. Журнал общей биологии + Успехи современной биологии)","Springer","","","","","да","","",""
34,"0006-3398","1573-8256","Biomedical Engineering (рус. Медицинская техника)","Biomedical Engineering","(рус. Медицинская техника)","Scopus, Springer","да","","","","да","","",""
35,"2413-9432","","Biomedical Photonics","Biomedical Photonics",NA,"Scopus","да","","","","","","",""
36,"0006-3509","1555-6654","Biophysics (рус. Биофизика)","Biophysics","(рус. Биофизика)","CA(core), Scopus, Springer","да","","да","","да","","",""
37,"2226-4701","2410- 3713","Botanica Pacifica","Botanica Pacifica",NA,"Scopus","да","","","","","","",""
38,"2409-9058","2412-2343","BRICS Law Journal","BRICS Law Journal",NA,"Scopus, WoS(ESCI)","да","да","","","","","",""
39,"0007-4888","1573-8221","Bulletin of Experimental Biology and Medicine (USA, рус. сост. Бюллетень экспериментальной биологии и медицины + Клеточные технологии в биологии и медицине)","Bulletin of Experimental Biology and Medicine","(USA, рус. сост. Бюллетень экспериментальной биологии и медицины + Клеточные технологии в биологии и медицине)","CA(pt), Scopus, Springer, WoS(SCIE)","да","да","да","","да","","",""
40,"1068-3356","1934-838X","Bulletin of the Lebedev Physics Institute (рус. Краткие сообщения по физике)","Bulletin of the Lebedev Physics Institute","(рус. Краткие сообщения по физике)","Scopus, Springer, WoS(SCIE)","да","да","","","да","","",""
41,"1062-8738","1934-9432","Bulletin of the Russian Academy of Sciences. Physics (рус. Известия Российской академии наук. Серия физическая)","Bulletin of the Russian Academy of Sciences. Physics","(рус. Известия Российской академии наук. Серия физическая)","CA(core), Scopus, Springer","да","","да","","да","","",""
42,"2500-1094","2542-1204","Bulletin of the Russian State Medical University / Вестник Российского государственного медицинского университета / Вестник РГМУ / Bulletin of RSMU","Bulletin of the Russian State Medical University / Вестник Российского государственного медицинского университета / Вестник РГМУ / Bulletin of RSMU",NA,"Scopus, WoS(ESCI)","да","да","","","","","",""
43,NA,"2304-7232","Cardiometry","Cardiometry",NA,"WoS(ESCI)","","да","","","","","",""
44,"2070-0504","2070-0555","Catalysis in Industry (рус. Катализ в промышленности)","Catalysis in Industry","(рус. Катализ в промышленности)","Scopus, Springer, WoS(ESCI)","да","да","","","да","","",""
45,"1990-519X","1990-5203","Cell and Tissue Biology (рус. Цитология)","Cell and Tissue Biology","(рус. Цитология)","Scopus, Springer","да","","","","да","","",""
46,NA,"1866-8836","Cellular Therapy and Transplantation","Cellular Therapy and Transplantation",NA,"Scopus","да","","","","","","",""
47,"2587-6104","2587-8964","Changing Societies and Personalities","Changing Societies and Personalities",NA,"Scopus, WoS(ESCI)","да","да","","","","","",""
48,"0009-2355","1573-8329","Chemical and Petroleum Engineering (рус. Химическое и нефтегазовое машиностроение)","Chemical and Petroleum Engineering","(рус. Химическое и нефтегазовое машиностроение)","CA(pt), Scopus, Springer, WoS(ESCI)","да","да","да","","да","","",""
49,NA,"2619-0575","Chemical Bulletin (Belgorod, Russian Federation) / Химический бюллетень","Chemical Bulletin","(Belgorod, Russian Federation)","CA(pt)","","","да","","","","",""
50,"0009-3092","1573-8310","Chemistry and Technology of Fuels and Oils (USA, рус. Химия и технология топлив и масел)","Chemistry and Technology of Fuels and Oils","(USA, рус. Химия и технология топлив и масел)","CA(core), Scopus, Springer, WoS(SCIE)","да","да","да","","да","","",""
51,"0869-8538","","Chemistry for Sustainable Development (рус. Химия в интересах устойчивого развития)","Chemistry for Sustainable Development","(рус. Химия в интересах устойчивого развития)","WoS(ESCI) (a)","","да","","","","","",""
52,"2409-5613","2411-1414","Chimica Techno Acta","Chimica Techno Acta",NA,"CA(pt), Scopus","да","","да","","","","",""
53,"2072-0815","","CIS Iron and Steel Review","CIS Iron and Steel Review",NA,"Scopus, WoS(ESCI)","да","да","","","","","",""
54,"1068-364X","1934-8398","Coke and Chemistry (рус. Кокс и химия)","Coke and Chemistry","(рус. Кокс и химия)","Scopus, Springer, WoS(ESCI)","да","да","","","да","","",""
55,"1061-933X","1608-3067","Colloid Journal (рус. Коллоидный журнал)","Colloid Journal","(рус. Коллоидный журнал)","CA(core), Scopus, Springer, WoS(SCIE)","да","да","да","","да","","",""
56,"0010-5082","1573-8345","Combustion, Explosion and Shock Waves (USA, рус. Физика горения и взрыва)","Combustion, Explosion and Shock Waves","(USA, рус. Физика горения и взрыва)","Scopus, Springer, WoS(SCIE)","да","да","","","да","","",""
57,"1993-0771","1993-078X","Comparative Cytogenetics","Comparative Cytogenetics",NA,"Scopus, WoS(SCIE)","да","да","","","","","",""
58,"0965-5425","1555-6662","Computational Mathematics and Mathematical Physics (рус. Журнал вычислительной математики и математической физики)","Computational Mathematics and Mathematical Physics","(рус. Журнал вычислительной математики и математической физики)","MathSciNet, Scopus, Springer, WoS(SCIE), zbMATH","да","да","","","да","","да","да"
59,"1046-283X","1573-837X","Computational Mathematics and Modeling","Computational Mathematics and Modeling",NA,"MathSciNet, Scopus,  zbMATH","да","","","","","","да","да"
60,"2305-7254","","Conference of Open Innovations Association (FRUCT)","Conference of Open Innovations Association","(FRUCT)","Scopus","да","","","","","","",""
61,"1995-4255","1995-4263","Contemporary Problems of Ecology (USA, рус. Сибирский экологический журнал)","Contemporary Problems of Ecology","(USA, рус. Сибирский экологический журнал)","Scopus, Springer, WoS(ESCI)","да","да","","","да","","",""
62,"0010-9525","1608-3075","Cosmic Research (USA, рус. Космические исследования)","Cosmic Research","(USA, рус. Космические исследования)","CA(pt), Scopus, Springer, WoS(SCIE)","да","да","да","","да","","",""
63,"1063-7745","1562-689X","Crystallography Reports (рус. Кристаллография)","Crystallography Reports","(рус. Кристаллография)","CA(core), Scopus, Springer, WoS(SCIE)","да","да","да","","да","","",""
64,"2223-7038","2226-4116","Cybernetics and Physics","Cybernetics and Physics",NA,"Scopus","да","","","","","","",""
65,"0012-2661","1608-3083","Differential Equations (рус. Дифференциальные уравнения + присоед. Дифференциальные уравнения и процессы управления (1 вып.))","Differential Equations","(рус. Дифференциальные уравнения + присоед. Дифференциальные уравнения и процессы управления (1 вып.)","MathSciNet, Scopus, Springer, WoS(SCIE), zbMATH","да","да","","","да","","да","да"
66,"0924-9265","1569-3929","Discrete Mathematics and Applications (Germany, рус. Дискретная математика)","Discrete Mathematics and Applications","(Germany, рус. Дискретная математика)","Scopus, WoS(ESCI)","да","да","","","","","",""
67,"1607-6729","1608-3091","Doklady Biochemistry and Biophysics (USA, рус. Доклады Академии наук)","Doklady Biochemistry and Biophysics","(USA, рус. Доклады Академии наук)","CA(core), PubMed, Scopus, Springer, WoS(SCIE)","да","да","да","да","да","","",""
68,"0012-4966","1608-3105","Doklady Biological Sciences (рус. Доклады Академии наук)","Doklady Biological Sciences","(рус. Доклады Академии наук)","CA(core), PubMed, Scopus, Springer","да","","да","да","да","","",""
69,"0012-5008","1608-3113","Doklady Chemistry (USA, рус. Доклады Академии наук)","Doklady Chemistry","(USA, рус. Доклады Академии наук)","CA(core), Scopus, Springer, WoS(SCIE)","да","да","да","","да","","",""
70,"1028-334X","1531-8354","Doklady Earth Sciences (USA, рус. Доклады Академии наук)","Doklady Earth Sciences","(USA, рус. Доклады Академии наук)","CA(core), GeoRef, Scopus, Springer, WoS(SCIE)","да","да","да","","да","да","",""
71,"1064-5624","1531-8362","Doklady Mathematics (USA, рус. Доклады Академии наук)","Doklady Mathematics","(USA, рус. Доклады Академии наук)","MathSciNet, Scopus, Springer, WoS(SCIE), zbMATH","да","да","","","да","","да","да"
72,"0012-5016","1608-3121","Doklady Physical Chemistry (USA, рус. Доклады Академии наук)","Doklady Physical Chemistry","(USA, рус. Доклады Академии наук)","CA(core), Scopus, Springer, WoS(SCIE)","да","да","да","","да","","",""
73,"1028-3358","1562-6903","Doklady Physics (USA, рус. Доклады Академии наук)","Doklady Physics","(USA, рус. Доклады Академии наук)","CA(core), GeoRef,MathSciNet, Scopus, Springer, WoS(SCIE)","да","да","да","","да","да","да",""
74,"0013-8738","1555-6689","Entomological Review (рус. Энтомологическое обозрение)","Entomological Review","(рус. Энтомологическое обозрение)","Scopus, Springer","да","","","","да","","",""
75,"2072-0823","","Eurasian Mining","Eurasian Mining",NA,"Scopus, WoS(ESCI)","да","да","","","","","",""
76,"1064-2293","1556-195X","Eurasian Soil Science (рус. Почвоведение)","Eurasian Soil Science","(рус. Почвоведение)","CA(pt), GeoRef, Scopus, Springer, WoS(SCIE)","да","да","да","","да","да","",""
77,"2304-9650","2305-6746","European Journal of Contemporary Education","European Journal of Contemporary Education",NA,"Scopus, WoS(ESCI)","да","да","","","","","",""
78,"2310-6255","2409-1332","European Journal of Molecular Biotechnology","European Journal of Molecular Biotechnology",NA,"CA(pt)","","","да","","","","",""
79,"1026-051X","","Far Eastern Entomologist (Дальневосточный энтомолог)","Far Eastern Entomologist","(Дальневосточный энтомолог)","Scopus","да","","","","","","",""
80,"0015-0541","1573-8493","Fibre Chemistry","Fibre Chemistry",NA,"CA(core), Scopus, WoS(SCIE)","да","да","да","","","","",""
81,"0015-4628","1573-8507","Fluid Dynamics (USA, рус. Известия Российской академии наук. Механика жидкости и газа)","Fluid Dynamics","(USA, рус. Известия Российской академии наук. Механика жидкости и газа)","CA(pt), MathSciNet, Scopus, Springer, WoS(SCIE), zbMATH","да","да","да","","да","","да","да"
82,NA,"2071-4807","Fluorine Notes","Fluorine Notes",NA,"CA(pt)","","","да","","","","",""
83,"2308-4057","2310-9599","Foods and Raw Materials","Foods and Raw Materials",NA,"Scopus, WoS(ESCI)","да","да","","","","","",""
84,"1995-459X","2500-2597","Foresight and STI Governance (рус. Форсайт)","Foresight and STI Governance","(рус. Форсайт)","Scopus, WoS(ESCI)","да","да","","","","","",""
85,"0016-2663","1573-8485","Functional Analysis and its Applications (рус. Функциональный анализ и его приложения)","Functional Analysis and its Applications","(рус. Функциональный анализ и его приложения)","Scopus, Springer, WoS(SCIE)","да","да","","","да","","",""
86,"0016-7029","1556-1968","Geochemistry International (USA, рус. Геохимия)","Geochemistry International","(USA, рус. Геохимия)","CA(core), GeoRef , Scopus, Springer, WoS(SCIE)","да","да","да","","да","да","",""
87,"1875-3728","1875-371X","Geography and Natural Resources (USA, рус. География и природные ресурсы)","Geography and Natural Resources","(USA, рус. География и природные ресурсы)","Scopus, Springer, WoS(ESCI)","да","да","","","да","","",""
88,"2071-9388","2542-1565","Geography, Environment, Sustainability","Geography, Environment, Sustainability",NA,"Scopus","да","","","","","","",""
89,"1075-7015","1555-6476","Geology of Ore Deposits (рус. осн. Геология рудных месторождений + присоед. Записки Российского минералогического общества)","Geology of Ore Deposits","(рус. осн. Геология рудных месторождений + присоед. Записки Российского минералогического общества)","GeoRef, Scopus, Springer, WoS(SCIE)","да","да","","","да","да","",""
90,"0016-7932","1555-645X","Geomagnetism and Aeronomy (USA, рус. Геомагнетизм и аэрономия)","Geomagnetism and Aeronomy","(USA, рус. Геомагнетизм и аэрономия)","Scopus, Springer, WoS(SCIE)","да","да","","","да","","",""
91,"0016-8521","1556-1976","Geotectonics (рус. Геотектоника)","Geotectonics","(рус. Геотектоника)","Scopus, Springer, WoS(SCIE)","да","да","","","да","","",""
92,"0361-7610","1573-8515","Glass and Ceramics (рус. Стекло и керамика)","Glass and Ceramics","(рус. Стекло и керамика)","CA(pt), Scopus, WoS(SCIE)","да","да","да","","","","",""
93,"1087-6596","1608-313X","Glass Physics and Chemistry (рус. Физика и химия стекла)","Glass Physics and Chemistry","(рус. Физика и химия стекла)","CA(core), Scopus, Springer, WoS(SCIE)","да","да","да","","да","","",""
94,"0202-2893","1995-0721","Gravitation and Cosmology (USA)","Gravitation and Cosmology","(USA)","MathSciNet, Scopus, Springer, WoS(SCIE), zbMATH","да","да","","","да","","да","да"
95,"2075-1087","2075-1109","Gyroscopy and Navigation (рус. Гироскопия и навигация)","Gyroscopy and Navigation","(рус. Гироскопия и навигация)","Scopus, Springer","да","","","","да","","",""
96,"1019-3316","1555-6492","Herald of the Russian Academy of Sciences (USA, рус. Вестник Российской академии наук)","Herald of the Russian Academy of Sciences","(USA, рус. Вестник Российской академии наук)","Scopus, Springer, WoS(SCIE)","да","да","","","да","","",""
97,"0018-1439","1608-3148","High Energy Chemistry (USA, рус. Химия высоких энергий)","High Energy Chemistry","(USA, рус. Химия высоких энергий)","CA(core), Scopus, Springer, WoS(SCIE)","да","да","да","","да","","",""
98,"0018-151X","1608-3156","High Temperature (USA, рус. Теплофизика высоких температур)","High Temperature","(USA, рус. Теплофизика высоких температур)","CA(core), Scopus, Springer, WoS(SCIE)","да","да","да","","да","","",""
99,"2226-5260","2311-6986","HORIZON. Феноменологические исследования / Horizon, Fenomenologiceskie Issledovania","HORIZON. Феноменологические исследования / Horizon, Fenomenologiceskie Issledovania",NA,"Scopus, WoS(ESCI)","да","да","","","","","",""
100,"0362-1197","1608-3164","Human Physiology (рус. Физиология человека)","Human Physiology","(рус. Физиология человека)","CA(pt), PubMed, Scopus, Springer","да","","да","да","да","","",""
101,"2075-9711","2076-8400","Iberoamerica","Iberoamerica",NA,"Scopus","да","","","","","","",""
102,"1995-0829","1995-0837","Inland Water Biology (USA, рус. Биология внутренних вод)","Inland Water Biology","(USA, рус. Биология внутренних вод)","Scopus, Springer, WoS(SCIE)","да","да","","","да","","",""
103,"0020-1685","1608-3172","Inorganic Materials (USA, рус. осн. Неорганические материалы + присоед. Заводская лаборатория. Диагностика материалов)","Inorganic Materials","(USA, рус. осн. Неорганические материалы + присоед. Заводская лаборатория. Диагностика материалов)","CA(core), Scopus, Springer, WoS(SCIE)","да","да","да","","да","","",""
104,"2075-1133","2075-115X","Inorganic Materials: Applied Research (**сост. рус.: Перспективные материалы; Материаловедение; Физика и химия обработки материалов; Вопросы материаловедения)","Inorganic Materials: Applied Research","(**сост. рус.: Перспективные материалы; Материаловедение; Физика и химия обработки материалов; Вопросы материаловедения)","Scopus, Springer","да","","","","да","","",""
105,"0020-4412","1608-3180","Instruments and Experimental Techniques (USA, рус. Приборы и техника эксперимента)","Instruments and Experimental Techniques","(USA, рус. Приборы и техника эксперимента)","CA(pt), Scopus, Springer, WoS(SCIE)","да","да","да","","да","","",""
106,"2587-9618","2588-0195","International Journal for Computational Civil and Structural Engineering / Международный журнал по расчету гражданских и строительных конструкций","International Journal for Computational Civil and Structural Engineering / Международный журнал по расчету гражданских и строительных конструкций",NA,"Scopus","да","","","","","","",""
107,NA,"2305-6894","International Journal of Corrosion and Scale Inhibition","International Journal of Corrosion and Scale Inhibition",NA,"CA(pt), Scopus, WoS(ESCI)","да","да","да","","","","",""
108,"0360-3199","","International Journal of Hydrogen Energy (**част. пер. статей журн. Альтернативная энергетика и экология)","International Journal of Hydrogen Energy","(**част. пер. статей журн. Альтернативная энергетика и экология)","CA(pt), Scopus, WoS(SCIE)","да","да","да","","","","",""
109,"1061-3862","1934-788X","International Journal of Self-Propagating High- Temperature Synthesis","International Journal of Self-Propagating High- Temperature Synthesis",NA,"CA(pt), Scopus, Springer, WoS(ESCI)","да","да","да","","да","","",""
110,"0307-174X","","International Polymer Science and Technology (**сост. рус.  Каучук и резина; Пластические массы)","International Polymer Science and Technology","(**сост. рус. Каучук и резина; Пластические массы)","Scopus","да","","","","","","",""
111,"0001-4338","1555-628X","Izvestiya. Atmospheric and Oceanic Physics (USA, рус. осн. Известия Российской академии наук. Физика атмосферы и океана + присоед. Исследование Земли из космоса; Геофизические процессы и биосфера)","Izvestiya. Atmospheric and Oceanic Physics","(USA, рус. осн. Известия Российской академии наук. Физика атмосферы и океана + присоед. Исследование Земли из космоса; Геофизические процессы и биосфера)","MathSciNet, Scopus, Springer, WoS(SCIE)","да","да","","","да","","да",""
112,"1064-5632","1468-4810","Izvestiya. Mathematics (рус. Известия вузов. Математика)","Izvestiya. Mathematics","(рус. Известия вузов. Математика)","MathSciNet, Scopus, WoS, zbMATH","да","да","","","","","да","да"
113,"1069-3513","1555-6506","Izvestiya-Physics of the Solid Earth (USA, Физика Земли)","Izvestiya-Physics of the Solid Earth","(USA, Физика Земли)","GeoRef, Scopus, Springer, WoS(SCIE)","да","да","","","да","да","",""
114,NA,"2500-2872","Japanese Studies in Russia","Japanese Studies in Russia",NA,"WoS(ESCI)","","да","","","","","",""
115,"0021-3640","1090-6487","JETP Letters (USA, рус. Письма в журнал экспериментальной и теоретической физики)","JETP Letters","(USA, рус. Письма в журнал экспериментальной и теоретической физики)","CA(core), Scopus, Springer, WoS(SCIE)","да","да","да","","да","","",""
116,NA,"2564-890X","Journal of Agriculture and Environment","Journal of Agriculture and Environment",NA,"CA(pt)","","","да","","","","",""
117,"1061-9348","1608-3199","Journal of Analytical Chemistry (рус. Журнал аналитической химии)","Journal of Analytical Chemistry","(рус. Журнал аналитической химии)","CA(core), Scopus, Springer, WoS(SCIE)","да","да","да","","да","","",""
118,"1990-4789","1990-4797","Journal of Applied and Industrial Mathematics (рус. Сибирский журнал индустриальной математики + присоед. Дискретный анализ  и исследование операций)","Journal of Applied and Industrial Mathematics","(рус. Сибирский журнал индустриальной математики + присоед. Дискретный анализ и исследование операций)","MathSciNet, Scopus, Springer","да","","","","да","","да",""
119,"0021-8944","1573-8620","Journal of Applied Mechanics and Technical Physics (USA, рус. Прикладная механика и техническая физика)","Journal of Applied Mechanics and Technical Physics","(USA, рус. Прикладная механика и техническая физика)","MathSciNet, Scopus, Springer, WoS(SCIE), zbMATH","да","да","","","да","","да","да"
120,NA,"2411-2844","Journal of Biomedical Photonics and Engineering (Journal of Biomedical Photonics & Engineering)","Journal of Biomedical Photonics and Engineering","(Journal of Biomedical Photonics & Engineering)","Scopus, CA(pt)","да","","да","","","","",""
121,NA,"2530-1381","Journal of Bioinformatics and Genomics","Journal of Bioinformatics and Genomics",NA,"CA(pt)","","","да","","","","",""
122,"1064-2269","1555-6557","Journal of Communications Technology and Electronics (рус. Радиотехника и электроника)","Journal of Communications Technology and Electronics","(рус. Радиотехника и электроника)",", Scopus, Springer, WoS(SCIE)","да","да","","","да","","",""
123,"2313-8106","2413-3574","Journal of Computational and Engineering Mathematics","Journal of Computational and Engineering Mathematics",NA,"MathSciNet, zbMATH","","","","","","","да","да"
124,"1064-2307","1555-6530","Journal of Computer and Systems Sciences International (рус. Известия Российской академии наук. Теория и системы управления)","Journal of Computer and Systems Sciences International","(рус. Известия Российской академии наук. Теория и системы управления)","MathSciNet, Scopus, Springer, WoS(SCIE), zbMATH","да","да","","","да","","да","да"
125,"1810-2328","1990-5432","Journal of Engineering Thermophysics","Journal of Engineering Thermophysics",NA,"CA(pt), Scopus, Springer, WoS(SCIE)","да","да","да","","да","","",""
126,"0022-0930","1608-3202","Journal of Evolutionary Biochemistry and Physiology (рус. Журнал эволюционной биохимии и физиологии)","Journal of Evolutionary Biochemistry and Physiology","(рус. Журнал эволюционной биохимии и физиологии)","CA(pt), Springer, WoS(SCIE)","","да","да","","да","","",""
127,"1063-7761","1090-6509","Journal of Experimental and Theoretical Physics (JETP) (рус. Журнал экспериментальной и теоретической физики (ЖЭТФ))","Journal of Experimental and Theoretical Physics","(JETP)","CA(core), MathSciNet, Scopus, Springer, WoS(SCIE)","да","да","да","","да","","да",""
128,"2075-8103","","Journal of Globalization Studies","Journal of Globalization Studies",NA,"Scopus","да","","","","","","",""
129,"0032-9452","1555-6425","Journal of Ichthyology (рус. Вопросы ихтиологии)","Journal of Ichthyology","(рус. Вопросы ихтиологии)","Scopus, Springer, WoS(SCIE)","да","да","","","да","","",""
130,NA,"2411-7390","Journal of Language and Education","Journal of Language and Education",NA,"Scopus, WoS(ESCI)","да","да","","","","","",""
131,"1052-6188","1934-9394","Journal of Machinery Manufacture and Reliability (USA, рус. Проблемы машиностроения и надежности машин)","Journal of Machinery Manufacture and Reliability","(USA, рус. Проблемы машиностроения и надежности машин)","Scopus, Springer, WoS(ESCI)","да","да","","","да","","",""
132,"1072-3374","1573-8795","Journal of Mathematical Sciences (** составной)","Journal of Mathematical Sciences","(** составной)","Scopus, Springer","да","","","","да","","",""
133,"1062-7391","1573-8736","Journal of Mining Science (рус. Физико- технические проблемы разработки полезных ископаемых)","Journal of Mining Science","(рус. Физико- технические проблемы разработки полезных ископаемых)","CA(pt), Scopus, Springer, WoS(SCIE)","да","да","да","","да","","",""
134,"1070-9762","1091-0786","Journal of Optical Technology (рус. Оптический журнал)","Journal of Optical Technology","(рус. Оптический журнал)","Scopus, WoS","да","да","","","","","",""
135,"1071-2836","1573-8760","Journal of Russian Laser Research","Journal of Russian Laser Research",NA,"CA(pt), Scopus, Springer, WoS(SCIE)","да","да","да","","да","","",""
136,"1997-0838","","Journal of Stress Physiology and Biochemistry","Journal of Stress Physiology and Biochemistry",NA,"CA(pt)","","","да","","","","",""
137,"0022-4766","1573-8779","Journal of Structural Chemistry (рус. Журнал структурной химии)","Journal of Structural Chemistry","(рус. Журнал структурной химии)","CA(core), Scopus, Springer, WoS(SCIE)","да","да","да","","да","","",""
138,"1027-4510","1819-7094","Journal of Surface Investigation X-Ray, Synchrotron and Neutron Techniques","Journal of Surface Investigation X-Ray, Synchrotron and Neutron Techniques",NA,"CA(pt), Scopus, Springer, WoS(ESCI)","да","да","да","","да","","",""
139,"2412-8872","2414-9497","Journal of Tax Reform","Journal of Tax Reform",NA,"WoS(ESCI)","","да","","","","","",""
